unit_id,institution_name,state,control,hbcu,n_applied,n_admitted,n_enrolled
199139,University of North Carolina at Charlotte,NC,Public,0,22699,18208,4501
199148,University of North Carolina at Greensboro,NC,Public,0,12379,11120,2613
199281,University of North Carolina at Pembroke,NC,Public,0,7635,7052,908
199184,University of North Carolina School of the Arts,NC,Public,0,1423,471,221
199218,University of North Carolina Wilmington,NC,Public,0,17370,12856,2701
136172,University of North Florida,FL,Public,0,21568,13430,2816
482680,University of North Georgia,GA,Public,0,11633,8394,3914
233374,University of Richmond,VA,Private not-for-profit,0,15121,3525,833
102094,University of South Alabama,AL,Public,0,12593,8247,1920
218645,University of South Carolina Aiken,SC,Public,0,2905,2316,616
218654,University of South Carolina Beaufort,SC,Public,0,2745,1899,503
218663,University of South Carolina-Columbia,SC,Public,0,46682,28706,7319
218742,University of South Carolina-Upstate,SC,Public,0,3557,2476,674
137351,University of South Florida,FL,Public,0,65187,26699,5803
176372,University of Southern Mississippi,MS,Public,0,8818,8763,1733
156541,University of the Cumberlands,KY,Private not-for-profit,0,4281,3056,645
107558,University of the Ozarks,AR,Private not-for-profit,0,1916,1114,188
233897,University of Virginia's College at Wise,VA,Public,0,1414,1328,290
234076,University of Virginia-Main Campus,VA,Public,0,56528,9533,3966
101587,University of West Alabama,AL,Public,0,2041,1778,315
138354,University of West Florida,FL,Public,0,9831,5591,1503
141334,University of West Georgia,GA,Public,0,8399,4147,1361
141264,Valdosta State University,GA,Public,0,4689,3915,1135
221999,Vanderbilt University,TN,Private not-for-profit,0,45313,2844,1622
449834,Virginia Beach Theological Seminary,VA,Private not-for-profit,0,0,,
234030,Virginia Commonwealth University,VA,Public,0,19052,17729,4519
234085,Virginia Military Institute,VA,Public,0,1171,957,469
233921,Virginia Polytechnic Institute and State University,VA,Public,0,47208,26923,7196
234155,Virginia State University,VA,Public,1,10577,9424,1448
234164,Virginia Union University,VA,Private not-for-profit,1,2771,2708,415
234173,Virginia Wesleyan University,VA,Private not-for-profit,0,2651,1890,373
449764,Visible Music College,TN,Private not-for-profit,0,136,39,31
199847,Wake Forest University,NC,Private not-for-profit,0,17479,3768,1385
138275,Warner University,FL,Private not-for-profit,0,1628,778,255
199865,Warren Wilson College,NC,Private not-for-profit,0,943,732,196
234207,Washington and Lee University,VA,Private not-for-profit,0,6820,1184,502
483780,Washington University of Science and Technology,VA,Private for-profit,0,174,20,20
138293,Webber International University,FL,Private not-for-profit,0,1907,1479,259
176451,Wesley Biblical Seminary,MS,Private not-for-profit,0,3,3,2
141325,Wesleyan College,GA,Private not-for-profit,0,1384,859,100
237932,West Liberty University,WV,Public,0,2077,1498,419
237899,West Virginia State University,WV,Public,1,4465,4303,322
238032,West Virginia University,WV,Public,0,19857,17129,4377
237950,West Virginia University Institute of Technology,WV,Public,0,1005,613,308
237969,West Virginia Wesleyan College,WV,Private not-for-profit,0,1413,1343,307
200004,Western Carolina University,NC,Public,0,18183,15758,2103
157951,Western Kentucky University,KY,Public,0,7720,7492,2822
238078,Wheeling University,WV,Private not-for-profit,0,2103,1581,170
231624,William & Mary,VA,Public,0,17548,5741,1619
176479,William Carey University,MS,Private not-for-profit,0,571,331,204
199272,William Peace University,NC,Private not-for-profit,0,1286,1252,159
107877,Williams Baptist University,AR,Private not-for-profit,0,1014,597,128
199962,Wingate University,NC,Private not-for-profit,0,21210,18027,708
199999,Winston-Salem State University,NC,Public,1,9273,6357,883
218964,Winthrop University,SC,Public,0,5858,4397,867
218973,Wofford College,SC,Private not-for-profit,0,4183,2451,510
160904,Xavier University of Louisiana,LA,Private not-for-profit,1,9608,7156,692
141361,Young Harris College,GA,Private not-for-profit,0,1926,1233,242
